issues foot,'issu' <-> 'foot'
hypersensitivity in fetus,'hypersensit' <2> 'fetus'
fetus hypersensitivity,'fetus' <-> 'hypersensit'
fetus is hypersensitivity,'fetus' <2> 'hypersensit'
fetus is in hypersensitivity,'fetus' <3> 'hypersensit'
fetus is a little hypersensitivity,'fetus' <3> 'littl' <-> 'hypersensit'
trauma fetus,'trauma' <-> 'fetus'
trauma in my fetus,'trauma' <3> 'fetus'
trauma in fetus,'trauma' <2> 'fetus'
fetus trauma,'fetus' <-> 'trauma'
fetus is trauma,'fetus' <2> 'trauma'
fetus is in trauma,'fetus' <3> 'trauma'
fetus is a little trauma,'fetus' <3> 'littl' <-> 'trauma'
inflammation fetus,'inflamm' <-> 'fetus'
inflammation in my fetus,'inflamm' <3> 'fetus'
inflammation in fetus,'inflamm' <2> 'fetus'
fetus inflammation,'fetus' <-> 'inflamm'
fetus is inflammation,'fetus' <2> 'inflamm'
fetus is in inflammation,'fetus' <3> 'inflamm'
fetus is a little inflammation,'fetus' <3> 'littl' <-> 'inflamm'
avulsion fetus,'avuls' <-> 'fetus'
avulsion in my fetus,'avuls' <3> 'fetus'
avulsion in fetus,'avuls' <2> 'fetus'
fetus avulsion,'fetus' <-> 'avuls'
fetus is avulsion,'fetus' <2> 'avuls'
fetus is in avulsion,'fetus' <3> 'avuls'
fetus is a little avulsion,'fetus' <3> 'littl' <-> 'avuls'
plaque fetus,'plaqu' <-> 'fetus'
plaque in my fetus,'plaqu' <3> 'fetus'
plaque in fetus,'plaqu' <2> 'fetus'
fetus plaque,'fetus' <-> 'plaqu'
fetus is plaque,'fetus' <2> 'plaqu'
fetus is in plaque,'fetus' <3> 'plaqu'
fetus is a little plaque,'fetus' <3> 'littl' <-> 'plaqu'
tingling fetus,'tingl' <-> 'fetus'
tingling in my fetus,'tingl' <3> 'fetus'
tingling in fetus,'tingl' <2> 'fetus'
fetus tingling,'fetus' <-> 'tingl'
fetus is tingling,'fetus' <2> 'tingl'
fetus is in tingling,'fetus' <3> 'tingl'
fetus is a little tingling,'fetus' <3> 'littl' <-> 'tingl'
discomfort fetus,'discomfort' <-> 'fetus'
discomfort in my fetus,'discomfort' <3> 'fetus'
discomfort in fetus,'discomfort' <2> 'fetus'
fetus discomfort,'fetus' <-> 'discomfort'
fetus is discomfort,'fetus' <2> 'discomfort'
fetus is in discomfort,'fetus' <3> 'discomfort'
fetus is a little discomfort,'fetus' <3> 'littl' <-> 'discomfort'
oedema fetus,'oedema' <-> 'fetus'
oedema in my fetus,'oedema' <3> 'fetus'
oedema in fetus,'oedema' <2> 'fetus'
fetus oedema,'fetus' <-> 'oedema'
fetus is oedema,'fetus' <2> 'oedema'
fetus is in oedema,'fetus' <3> 'oedema'
fetus is a little oedema,'fetus' <3> 'littl' <-> 'oedema'
burning fetus,'burn' <-> 'fetus'
burning in my fetus,'burn' <3> 'fetus'
burning in fetus,'burn' <2> 'fetus'
fetus burning,'fetus' <-> 'burn'
fetus is burning,'fetus' <2> 'burn'
fetus is in burning,'fetus' <3> 'burn'
fetus is a little burning,'fetus' <3> 'littl' <-> 'burn'
macule fetus,'macul' <-> 'fetus'
macule in my fetus,'macul' <3> 'fetus'
macule in fetus,'macul' <2> 'fetus'
fetus macule,'fetus' <-> 'macul'
fetus is macule,'fetus' <2> 'macul'
fetus is in macule,'fetus' <3> 'macul'
fetus is a little macule,'fetus' <3> 'littl' <-> 'macul'
tight fetus,'tight' <-> 'fetus'
tight in my fetus,'tight' <3> 'fetus'
tight in fetus,'tight' <2> 'fetus'
fetus tight,'fetus' <-> 'tight'
fetus is tight,'fetus' <2> 'tight'
fetus is in tight,'fetus' <3> 'tight'
fetus is a little tight,'fetus' <3> 'littl' <-> 'tight'
pains fetus,'pain' <-> 'fetus'
pains in my fetus,'pain' <3> 'fetus'
pains in fetus,'pain' <2> 'fetus'
fetus pains,'fetus' <-> 'pain'
fetus is pains,'fetus' <2> 'pain'
fetus is in pains,'fetus' <3> 'pain'
fetus is a little pains,'fetus' <3> 'littl' <-> 'pain'
injury fetus,'injuri' <-> 'fetus'
injury in my fetus,'injuri' <3> 'fetus'
injury in fetus,'injuri' <2> 'fetus'
fetus injury,'fetus' <-> 'injuri'
fetus is injury,'fetus' <2> 'injuri'
fetus is in injury,'fetus' <3> 'injuri'
fetus is a little injury,'fetus' <3> 'littl' <-> 'injuri'
numbness fetus,'numb' <-> 'fetus'
numbness in my fetus,'numb' <3> 'fetus'
numbness in fetus,'numb' <2> 'fetus'
fetus numbness,'fetus' <-> 'numb'
fetus is numbness,'fetus' <2> 'numb'
fetus is in numbness,'fetus' <3> 'numb'
fetus is a little numbness,'fetus' <3> 'littl' <-> 'numb'
pounding fetus,'pound' <-> 'fetus'
pounding in my fetus,'pound' <3> 'fetus'
pounding in fetus,'pound' <2> 'fetus'
fetus pounding,'fetus' <-> 'pound'
fetus is pounding,'fetus' <2> 'pound'
fetus is in pounding,'fetus' <3> 'pound'
fetus is a little pounding,'fetus' <3> 'littl' <-> 'pound'
laceration fetus,'lacer' <-> 'fetus'
laceration in my fetus,'lacer' <3> 'fetus'
laceration in fetus,'lacer' <2> 'fetus'
fetus laceration,'fetus' <-> 'lacer'
fetus is laceration,'fetus' <2> 'lacer'
fetus is in laceration,'fetus' <3> 'lacer'
fetus is a little laceration,'fetus' <3> 'littl' <-> 'lacer'
obstruction fetus,'obstruct' <-> 'fetus'
obstruction in my fetus,'obstruct' <3> 'fetus'
obstruction in fetus,'obstruct' <2> 'fetus'
fetus obstruction,'fetus' <-> 'obstruct'
fetus is obstruction,'fetus' <2> 'obstruct'
fetus is in obstruction,'fetus' <3> 'obstruct'
fetus is a little obstruction,'fetus' <3> 'littl' <-> 'obstruct'
swollen fetus,'swollen' <-> 'fetus'
swollen in my fetus,'swollen' <3> 'fetus'
swollen in fetus,'swollen' <2> 'fetus'
fetus swollen,'fetus' <-> 'swollen'
fetus is swollen,'fetus' <2> 'swollen'
fetus is in swollen,'fetus' <3> 'swollen'
fetus is a little swollen,'fetus' <3> 'littl' <-> 'swollen'
swelling fetus,'swell' <-> 'fetus'
swelling in my fetus,'swell' <3> 'fetus'
swelling in fetus,'swell' <2> 'fetus'
fetus swelling,'fetus' <-> 'swell'
fetus is swelling,'fetus' <2> 'swell'
fetus is in swelling,'fetus' <3> 'swell'
fetus is a little swelling,'fetus' <3> 'littl' <-> 'swell'
scratchy fetus,'scratchi' <-> 'fetus'
scratchy in my fetus,'scratchi' <3> 'fetus'
scratchy in fetus,'scratchi' <2> 'fetus'
fetus scratchy,'fetus' <-> 'scratchi'
fetus is scratchy,'fetus' <2> 'scratchi'
fetus is in scratchy,'fetus' <3> 'scratchi'
fetus is a little scratchy,'fetus' <3> 'littl' <-> 'scratchi'
erythema fetus,'erythema' <-> 'fetus'
erythema in my fetus,'erythema' <3> 'fetus'
erythema in fetus,'erythema' <2> 'fetus'
fetus erythema,'fetus' <-> 'erythema'
fetus is erythema,'fetus' <2> 'erythema'
fetus is in erythema,'fetus' <3> 'erythema'
fetus is a little erythema,'fetus' <3> 'littl' <-> 'erythema'
spasm fetus,'spasm' <-> 'fetus'
spasm in my fetus,'spasm' <3> 'fetus'
spasm in fetus,'spasm' <2> 'fetus'
fetus spasm,'fetus' <-> 'spasm'
fetus is spasm,'fetus' <2> 'spasm'
fetus is in spasm,'fetus' <3> 'spasm'
fetus is a little spasm,'fetus' <3> 'littl' <-> 'spasm'
prickling fetus,'prickl' <-> 'fetus'
prickling in my fetus,'prickl' <3> 'fetus'
prickling in fetus,'prickl' <2> 'fetus'
fetus prickling,'fetus' <-> 'prickl'
fetus is prickling,'fetus' <2> 'prickl'
fetus is in prickling,'fetus' <3> 'prickl'
fetus is a little prickling,'fetus' <3> 'littl' <-> 'prickl'
luxation fetus,'luxat' <-> 'fetus'
luxation in my fetus,'luxat' <3> 'fetus'
luxation in fetus,'luxat' <2> 'fetus'
fetus luxation,'fetus' <-> 'luxat'
fetus is luxation,'fetus' <2> 'luxat'
fetus is in luxation,'fetus' <3> 'luxat'
fetus is a little luxation,'fetus' <3> 'littl' <-> 'luxat'
soreness fetus,'sore' <-> 'fetus'
soreness in my fetus,'sore' <3> 'fetus'
soreness in fetus,'sore' <2> 'fetus'
fetus soreness,'fetus' <-> 'sore'
fetus is soreness,'fetus' <2> 'sore'
fetus is in soreness,'fetus' <3> 'sore'
fetus is a little soreness,'fetus' <3> 'littl' <-> 'sore'
nodule fetus,'nodul' <-> 'fetus'
nodule in my fetus,'nodul' <3> 'fetus'
nodule in fetus,'nodul' <2> 'fetus'
fetus nodule,'fetus' <-> 'nodul'
fetus is nodule,'fetus' <2> 'nodul'
fetus is in nodule,'fetus' <3> 'nodul'
fetus is a little nodule,'fetus' <3> 'littl' <-> 'nodul'
throbbing fetus,'throb' <-> 'fetus'
throbbing in my fetus,'throb' <3> 'fetus'
throbbing in fetus,'throb' <2> 'fetus'
fetus throbbing,'fetus' <-> 'throb'
fetus is throbbing,'fetus' <2> 'throb'
fetus is in throbbing,'fetus' <3> 'throb'
fetus is a little throbbing,'fetus' <3> 'littl' <-> 'throb'
contusion fetus,'contus' <-> 'fetus'
contusion in my fetus,'contus' <3> 'fetus'
contusion in fetus,'contus' <2> 'fetus'
fetus contusion,'fetus' <-> 'contus'
fetus is contusion,'fetus' <2> 'contus'
fetus is in contusion,'fetus' <3> 'contus'
fetus is a little contusion,'fetus' <3> 'littl' <-> 'contus'
pallor fetus,'pallor' <-> 'fetus'
pallor in my fetus,'pallor' <3> 'fetus'
pallor in fetus,'pallor' <2> 'fetus'
fetus pallor,'fetus' <-> 'pallor'
fetus is pallor,'fetus' <2> 'pallor'
fetus is in pallor,'fetus' <3> 'pallor'
fetus is a little pallor,'fetus' <3> 'littl' <-> 'pallor'
itchy fetus,'itchi' <-> 'fetus'
itchy in my fetus,'itchi' <3> 'fetus'
itchy in fetus,'itchi' <2> 'fetus'
fetus itchy,'fetus' <-> 'itchi'
fetus is itchy,'fetus' <2> 'itchi'
fetus is in itchy,'fetus' <3> 'itchi'
fetus is a little itchy,'fetus' <3> 'littl' <-> 'itchi'
leak fetus,'leak' <-> 'fetus'
leak in my fetus,'leak' <3> 'fetus'
leak in fetus,'leak' <2> 'fetus'
fetus leak,'fetus' <-> 'leak'
fetus is leak,'fetus' <2> 'leak'
fetus is in leak,'fetus' <3> 'leak'
fetus is a little leak,'fetus' <3> 'littl' <-> 'leak'
abrasion fetus,'abras' <-> 'fetus'
abrasion in my fetus,'abras' <3> 'fetus'
abrasion in fetus,'abras' <2> 'fetus'
fetus abrasion,'fetus' <-> 'abras'
fetus is abrasion,'fetus' <2> 'abras'
fetus is in abrasion,'fetus' <3> 'abras'
fetus is a little abrasion,'fetus' <3> 'littl' <-> 'abras'
tremor fetus,'tremor' <-> 'fetus'
tremor in my fetus,'tremor' <3> 'fetus'
tremor in fetus,'tremor' <2> 'fetus'
fetus tremor,'fetus' <-> 'tremor'
fetus is tremor,'fetus' <2> 'tremor'
fetus is in tremor,'fetus' <3> 'tremor'
fetus is a little tremor,'fetus' <3> 'littl' <-> 'tremor'
complication fetus,'complic' <-> 'fetus'
complication in my fetus,'complic' <3> 'fetus'
complication in fetus,'complic' <2> 'fetus'
fetus complication,'fetus' <-> 'complic'
fetus is complication,'fetus' <2> 'complic'
fetus is in complication,'fetus' <3> 'complic'
fetus is a little complication,'fetus' <3> 'littl' <-> 'complic'
irritation fetus,'irrit' <-> 'fetus'
irritation in my fetus,'irrit' <3> 'fetus'
irritation in fetus,'irrit' <2> 'fetus'
fetus irritation,'fetus' <-> 'irrit'
fetus is irritation,'fetus' <2> 'irrit'
fetus is in irritation,'fetus' <3> 'irrit'
fetus is a little irritation,'fetus' <3> 'littl' <-> 'irrit'
tender fetus,'tender' <-> 'fetus'
tender in my fetus,'tender' <3> 'fetus'
tender in fetus,'tender' <2> 'fetus'
fetus tender,'fetus' <-> 'tender'
fetus is tender,'fetus' <2> 'tender'
fetus is in tender,'fetus' <3> 'tender'
fetus is a little tender,'fetus' <3> 'littl' <-> 'tender'
papule fetus,'papul' <-> 'fetus'
papule in my fetus,'papul' <3> 'fetus'
papule in fetus,'papul' <2> 'fetus'
fetus papule,'fetus' <-> 'papul'
fetus is papule,'fetus' <2> 'papul'
fetus is in papule,'fetus' <3> 'papul'
fetus is a little papule,'fetus' <3> 'littl' <-> 'papul'
rupture fetus,'ruptur' <-> 'fetus'
rupture in my fetus,'ruptur' <3> 'fetus'
rupture in fetus,'ruptur' <2> 'fetus'
fetus rupture,'fetus' <-> 'ruptur'
fetus is rupture,'fetus' <2> 'ruptur'
fetus is in rupture,'fetus' <3> 'ruptur'
fetus is a little rupture,'fetus' <3> 'littl' <-> 'ruptur'
puffy fetus,'puffi' <-> 'fetus'
puffy in my fetus,'puffi' <3> 'fetus'
puffy in fetus,'puffi' <2> 'fetus'
fetus puffy,'fetus' <-> 'puffi'
fetus is puffy,'fetus' <2> 'puffi'
fetus is in puffy,'fetus' <3> 'puffi'
fetus is a little puffy,'fetus' <3> 'littl' <-> 'puffi'
issues intestine,'issu' <-> 'intestin'
issues in my intestine,'issu' <3> 'intestin'
issues in intestine,'issu' <2> 'intestin'
intestine issues,'intestin' <-> 'issu'
intestine is issues,'intestin' <2> 'issu'
intestine is in issues,'intestin' <3> 'issu'
intestine is a little issues,'intestin' <3> 'littl' <-> 'issu'
puffing intestine,'puf' <-> 'intestin'
puffing in my intestine,'puf' <3> 'intestin'
puffing in intestine,'puf' <2> 'intestin'
intestine puffing,'intestin' <-> 'puf'
intestine is puffing,'intestin' <2> 'puf'
intestine is in puffing,'intestin' <3> 'puf'
intestine is a little puffing,'intestin' <3> 'littl' <-> 'puf'
inflamed intestine,'inflam' <-> 'intestin'
inflamed in my intestine,'inflam' <3> 'intestin'
inflamed in intestine,'inflam' <2> 'intestin'
intestine inflamed,'intestin' <-> 'inflam'
intestine is inflamed,'intestin' <2> 'inflam'
intestine is in inflamed,'intestin' <3> 'inflam'
intestine is a little inflamed,'intestin' <3> 'littl' <-> 'inflam'
hurts intestine,'hurt' <-> 'intestin'
hurts in my intestine,'hurt' <3> 'intestin'
hurts in intestine,'hurt' <2> 'intestin'
intestine hurts,'intestin' <-> 'hurt'
intestine is hurts,'intestin' <2> 'hurt'
intestine is in hurts,'intestin' <3> 'hurt'
intestine is a little hurts,'intestin' <3> 'littl' <-> 'hurt'
cramps intestine,'cramp' <-> 'intestin'
cramps in my intestine,'cramp' <3> 'intestin'
cramps in intestine,'cramp' <2> 'intestin'
intestine cramps,'intestin' <-> 'cramp'
intestine is cramps,'intestin' <2> 'cramp'
intestine is in cramps,'intestin' <3> 'cramp'
intestine is a little cramps,'intestin' <3> 'littl' <-> 'cramp'
shaking intestine,'shake' <-> 'intestin'
shaking in my intestine,'shake' <3> 'intestin'
shaking in intestine,'shake' <2> 'intestin'
intestine shaking,'intestin' <-> 'shake'
intestine is shaking,'intestin' <2> 'shake'
intestine is in shaking,'intestin' <3> 'shake'
intestine is a little shaking,'intestin' <3> 'littl' <-> 'shake'
hypersensitivity intestine,'hypersensit' <-> 'intestin'
hypersensitivity in my intestine,'hypersensit' <3> 'intestin'
hypersensitivity in intestine,'hypersensit' <2> 'intestin'
intestine hypersensitivity,'intestin' <-> 'hypersensit'
intestine is hypersensitivity,'intestin' <2> 'hypersensit'
intestine is in hypersensitivity,'intestin' <3> 'hypersensit'
intestine is a little hypersensitivity,'intestin' <3> 'littl' <-> 'hypersensit'
trauma intestine,'trauma' <-> 'intestin'
trauma in my intestine,'trauma' <3> 'intestin'
trauma in intestine,'trauma' <2> 'intestin'
intestine trauma,'intestin' <-> 'trauma'
intestine is trauma,'intestin' <2> 'trauma'
intestine is in trauma,'intestin' <3> 'trauma'
intestine is a little trauma,'intestin' <3> 'littl' <-> 'trauma'
inflammation intestine,'inflamm' <-> 'intestin'
inflammation in my intestine,'inflamm' <3> 'intestin'
inflammation in intestine,'inflamm' <2> 'intestin'
intestine inflammation,'intestin' <-> 'inflamm'
intestine is inflammation,'intestin' <2> 'inflamm'
intestine is in inflammation,'intestin' <3> 'inflamm'
intestine is a little inflammation,'intestin' <3> 'littl' <-> 'inflamm'
avulsion intestine,'avuls' <-> 'intestin'
avulsion in my intestine,'avuls' <3> 'intestin'
avulsion in intestine,'avuls' <2> 'intestin'
intestine avulsion,'intestin' <-> 'avuls'
intestine is avulsion,'intestin' <2> 'avuls'
intestine is in avulsion,'intestin' <3> 'avuls'
intestine is a little avulsion,'intestin' <3> 'littl' <-> 'avuls'
plaque intestine,'plaqu' <-> 'intestin'
plaque in my intestine,'plaqu' <3> 'intestin'
plaque in intestine,'plaqu' <2> 'intestin'
intestine plaque,'intestin' <-> 'plaqu'
intestine is plaque,'intestin' <2> 'plaqu'
intestine is in plaque,'intestin' <3> 'plaqu'
intestine is a little plaque,'intestin' <3> 'littl' <-> 'plaqu'
tingling intestine,'tingl' <-> 'intestin'
tingling in my intestine,'tingl' <3> 'intestin'
tingling in intestine,'tingl' <2> 'intestin'
intestine tingling,'intestin' <-> 'tingl'
intestine is tingling,'intestin' <2> 'tingl'
intestine is in tingling,'intestin' <3> 'tingl'
intestine is a little tingling,'intestin' <3> 'littl' <-> 'tingl'
discomfort intestine,'discomfort' <-> 'intestin'
discomfort in my intestine,'discomfort' <3> 'intestin'
discomfort in intestine,'discomfort' <2> 'intestin'
intestine discomfort,'intestin' <-> 'discomfort'
intestine is discomfort,'intestin' <2> 'discomfort'
intestine is in discomfort,'intestin' <3> 'discomfort'
intestine is a little discomfort,'intestin' <3> 'littl' <-> 'discomfort'
oedema intestine,'oedema' <-> 'intestin'
oedema in my intestine,'oedema' <3> 'intestin'
oedema in intestine,'oedema' <2> 'intestin'
intestine oedema,'intestin' <-> 'oedema'
intestine is oedema,'intestin' <2> 'oedema'
intestine is in oedema,'intestin' <3> 'oedema'
intestine is a little oedema,'intestin' <3> 'littl' <-> 'oedema'
burning intestine,'burn' <-> 'intestin'
burning in my intestine,'burn' <3> 'intestin'
burning in intestine,'burn' <2> 'intestin'
intestine burning,'intestin' <-> 'burn'
intestine is burning,'intestin' <2> 'burn'
intestine is in burning,'intestin' <3> 'burn'
intestine is a little burning,'intestin' <3> 'littl' <-> 'burn'
macule intestine,'macul' <-> 'intestin'
macule in my intestine,'macul' <3> 'intestin'
macule in intestine,'macul' <2> 'intestin'
intestine macule,'intestin' <-> 'macul'
intestine is macule,'intestin' <2> 'macul'
intestine is in macule,'intestin' <3> 'macul'
intestine is a little macule,'intestin' <3> 'littl' <-> 'macul'
tight intestine,'tight' <-> 'intestin'
tight in my intestine,'tight' <3> 'intestin'
tight in intestine,'tight' <2> 'intestin'
intestine tight,'intestin' <-> 'tight'
intestine is tight,'intestin' <2> 'tight'
intestine is in tight,'intestin' <3> 'tight'
intestine is a little tight,'intestin' <3> 'littl' <-> 'tight'
pains intestine,'pain' <-> 'intestin'
pains in my intestine,'pain' <3> 'intestin'
pains in intestine,'pain' <2> 'intestin'
intestine pains,'intestin' <-> 'pain'
intestine is pains,'intestin' <2> 'pain'
intestine is in pains,'intestin' <3> 'pain'
intestine is a little pains,'intestin' <3> 'littl' <-> 'pain'
injury intestine,'injuri' <-> 'intestin'
injury in my intestine,'injuri' <3> 'intestin'
injury in intestine,'injuri' <2> 'intestin'
intestine injury,'intestin' <-> 'injuri'
intestine is injury,'intestin' <2> 'injuri'
intestine is in injury,'intestin' <3> 'injuri'
intestine is a little injury,'intestin' <3> 'littl' <-> 'injuri'
numbness intestine,'numb' <-> 'intestin'
numbness in my intestine,'numb' <3> 'intestin'
numbness in intestine,'numb' <2> 'intestin'
intestine numbness,'intestin' <-> 'numb'
intestine is numbness,'intestin' <2> 'numb'
intestine is in numbness,'intestin' <3> 'numb'
intestine is a little numbness,'intestin' <3> 'littl' <-> 'numb'
pounding intestine,'pound' <-> 'intestin'
pounding in my intestine,'pound' <3> 'intestin'
pounding in intestine,'pound' <2> 'intestin'
intestine pounding,'intestin' <-> 'pound'
intestine is pounding,'intestin' <2> 'pound'
intestine is in pounding,'intestin' <3> 'pound'
intestine is a little pounding,'intestin' <3> 'littl' <-> 'pound'
laceration intestine,'lacer' <-> 'intestin'
laceration in my intestine,'lacer' <3> 'intestin'
laceration in intestine,'lacer' <2> 'intestin'
intestine laceration,'intestin' <-> 'lacer'
intestine is laceration,'intestin' <2> 'lacer'
intestine is in laceration,'intestin' <3> 'lacer'
intestine is a little laceration,'intestin' <3> 'littl' <-> 'lacer'
obstruction intestine,'obstruct' <-> 'intestin'
obstruction in my intestine,'obstruct' <3> 'intestin'
obstruction in intestine,'obstruct' <2> 'intestin'
intestine obstruction,'intestin' <-> 'obstruct'
intestine is obstruction,'intestin' <2> 'obstruct'
intestine is in obstruction,'intestin' <3> 'obstruct'
intestine is a little obstruction,'intestin' <3> 'littl' <-> 'obstruct'
swollen intestine,'swollen' <-> 'intestin'
swollen in my intestine,'swollen' <3> 'intestin'
swollen in intestine,'swollen' <2> 'intestin'
intestine swollen,'intestin' <-> 'swollen'
intestine is swollen,'intestin' <2> 'swollen'
intestine is in swollen,'intestin' <3> 'swollen'
intestine is a little swollen,'intestin' <3> 'littl' <-> 'swollen'
swelling intestine,'swell' <-> 'intestin'
swelling in my intestine,'swell' <3> 'intestin'
swelling in intestine,'swell' <2> 'intestin'
intestine swelling,'intestin' <-> 'swell'
intestine is swelling,'intestin' <2> 'swell'
intestine is in swelling,'intestin' <3> 'swell'
intestine is a little swelling,'intestin' <3> 'littl' <-> 'swell'
scratchy intestine,'scratchi' <-> 'intestin'
scratchy in my intestine,'scratchi' <3> 'intestin'
scratchy in intestine,'scratchi' <2> 'intestin'
intestine scratchy,'intestin' <-> 'scratchi'
intestine is scratchy,'intestin' <2> 'scratchi'
intestine is in scratchy,'intestin' <3> 'scratchi'
intestine is a little scratchy,'intestin' <3> 'littl' <-> 'scratchi'
erythema intestine,'erythema' <-> 'intestin'
erythema in my intestine,'erythema' <3> 'intestin'
erythema in intestine,'erythema' <2> 'intestin'
intestine erythema,'intestin' <-> 'erythema'
intestine is erythema,'intestin' <2> 'erythema'
intestine is in erythema,'intestin' <3> 'erythema'
intestine is a little erythema,'intestin' <3> 'littl' <-> 'erythema'
spasm intestine,'spasm' <-> 'intestin'
spasm in my intestine,'spasm' <3> 'intestin'
spasm in intestine,'spasm' <2> 'intestin'
intestine spasm,'intestin' <-> 'spasm'
intestine is spasm,'intestin' <2> 'spasm'
intestine is in spasm,'intestin' <3> 'spasm'
intestine is a little spasm,'intestin' <3> 'littl' <-> 'spasm'
prickling intestine,'prickl' <-> 'intestin'
prickling in my intestine,'prickl' <3> 'intestin'
prickling in intestine,'prickl' <2> 'intestin'
intestine prickling,'intestin' <-> 'prickl'
intestine is prickling,'intestin' <2> 'prickl'
intestine is in prickling,'intestin' <3> 'prickl'
intestine is a little prickling,'intestin' <3> 'littl' <-> 'prickl'
luxation intestine,'luxat' <-> 'intestin'
luxation in my intestine,'luxat' <3> 'intestin'
luxation in intestine,'luxat' <2> 'intestin'
intestine luxation,'intestin' <-> 'luxat'
intestine is luxation,'intestin' <2> 'luxat'
intestine is in luxation,'intestin' <3> 'luxat'
intestine is a little luxation,'intestin' <3> 'littl' <-> 'luxat'
soreness intestine,'sore' <-> 'intestin'
soreness in my intestine,'sore' <3> 'intestin'
soreness in intestine,'sore' <2> 'intestin'
intestine soreness,'intestin' <-> 'sore'
intestine is soreness,'intestin' <2> 'sore'
intestine is in soreness,'intestin' <3> 'sore'
intestine is a little soreness,'intestin' <3> 'littl' <-> 'sore'
nodule intestine,'nodul' <-> 'intestin'
nodule in my intestine,'nodul' <3> 'intestin'
nodule in intestine,'nodul' <2> 'intestin'
intestine nodule,'intestin' <-> 'nodul'
intestine is nodule,'intestin' <2> 'nodul'
intestine is in nodule,'intestin' <3> 'nodul'
intestine is a little nodule,'intestin' <3> 'littl' <-> 'nodul'
throbbing intestine,'throb' <-> 'intestin'
throbbing in my intestine,'throb' <3> 'intestin'
throbbing in intestine,'throb' <2> 'intestin'
intestine throbbing,'intestin' <-> 'throb'
intestine is throbbing,'intestin' <2> 'throb'
intestine is in throbbing,'intestin' <3> 'throb'
intestine is a little throbbing,'intestin' <3> 'littl' <-> 'throb'
contusion intestine,'contus' <-> 'intestin'
contusion in my intestine,'contus' <3> 'intestin'
contusion in intestine,'contus' <2> 'intestin'
intestine contusion,'intestin' <-> 'contus'
intestine is contusion,'intestin' <2> 'contus'
intestine is in contusion,'intestin' <3> 'contus'
intestine is a little contusion,'intestin' <3> 'littl' <-> 'contus'
pallor intestine,'pallor' <-> 'intestin'
pallor in my intestine,'pallor' <3> 'intestin'
pallor in intestine,'pallor' <2> 'intestin'
intestine pallor,'intestin' <-> 'pallor'
intestine is pallor,'intestin' <2> 'pallor'
intestine is in pallor,'intestin' <3> 'pallor'
intestine is a little pallor,'intestin' <3> 'littl' <-> 'pallor'
itchy intestine,'itchi' <-> 'intestin'
itchy in my intestine,'itchi' <3> 'intestin'
itchy in intestine,'itchi' <2> 'intestin'
intestine itchy,'intestin' <-> 'itchi'
intestine is itchy,'intestin' <2> 'itchi'
intestine is in itchy,'intestin' <3> 'itchi'
intestine is a little itchy,'intestin' <3> 'littl' <-> 'itchi'
leak intestine,'leak' <-> 'intestin'
leak in my intestine,'leak' <3> 'intestin'
leak in intestine,'leak' <2> 'intestin'
intestine leak,'intestin' <-> 'leak'
intestine is leak,'intestin' <2> 'leak'
intestine is in leak,'intestin' <3> 'leak'
intestine is a little leak,'intestin' <3> 'littl' <-> 'leak'
abrasion intestine,'abras' <-> 'intestin'
abrasion in my intestine,'abras' <3> 'intestin'
abrasion in intestine,'abras' <2> 'intestin'
intestine abrasion,'intestin' <-> 'abras'
intestine is abrasion,'intestin' <2> 'abras'
intestine is in abrasion,'intestin' <3> 'abras'
intestine is a little abrasion,'intestin' <3> 'littl' <-> 'abras'
tremor intestine,'tremor' <-> 'intestin'
tremor in my intestine,'tremor' <3> 'intestin'
tremor in intestine,'tremor' <2> 'intestin'
intestine tremor,'intestin' <-> 'tremor'
intestine is tremor,'intestin' <2> 'tremor'
intestine is in tremor,'intestin' <3> 'tremor'
intestine is a little tremor,'intestin' <3> 'littl' <-> 'tremor'
complication intestine,'complic' <-> 'intestin'
complication in my intestine,'complic' <3> 'intestin'
complication in intestine,'complic' <2> 'intestin'
intestine complication,'intestin' <-> 'complic'
intestine is complication,'intestin' <2> 'complic'
intestine is in complication,'intestin' <3> 'complic'
intestine is a little complication,'intestin' <3> 'littl' <-> 'complic'
irritation intestine,'irrit' <-> 'intestin'
irritation in my intestine,'irrit' <3> 'intestin'
irritation in intestine,'irrit' <2> 'intestin'
intestine irritation,'intestin' <-> 'irrit'
intestine is irritation,'intestin' <2> 'irrit'
intestine is in irritation,'intestin' <3> 'irrit'
intestine is a little irritation,'intestin' <3> 'littl' <-> 'irrit'
tender intestine,'tender' <-> 'intestin'
tender in my intestine,'tender' <3> 'intestin'
tender in intestine,'tender' <2> 'intestin'
intestine tender,'intestin' <-> 'tender'
intestine is tender,'intestin' <2> 'tender'
intestine is in tender,'intestin' <3> 'tender'
intestine is a little tender,'intestin' <3> 'littl' <-> 'tender'
papule intestine,'papul' <-> 'intestin'
papule in my intestine,'papul' <3> 'intestin'
papule in intestine,'papul' <2> 'intestin'
intestine papule,'intestin' <-> 'papul'
intestine is papule,'intestin' <2> 'papul'
intestine is in papule,'intestin' <3> 'papul'
intestine is a little papule,'intestin' <3> 'littl' <-> 'papul'
rupture intestine,'ruptur' <-> 'intestin'
rupture in my intestine,'ruptur' <3> 'intestin'
rupture in intestine,'ruptur' <2> 'intestin'
intestine rupture,'intestin' <-> 'ruptur'
